Tumtum | Hecuba | The bend in the trail in the dwarf forest | Fri Oct 25 08:40:56 2002
Kryth | Kryth | The Eastern Market Square | Thu Dec 12 20:30:06 2002
Pollo | Kaerk | By the Temple Altar | Thu Dec 12 20:38:05 2002
Pollo | Dante | Outside the Tower | Thu Dec 12 21:57:09 2002
Pollo | Dante | Outside the Tower | Thu Dec 12 21:58:46 2002
Pollo | Dante | Outside the Tower | Thu Dec 12 22:09:22 2002
Kryth | Heiskler | At a muddy track | Thu Dec 12 22:17:59 2002
Heiskler | Dante | The Altar | Thu Dec 12 22:25:06 2002
Horvath | Toktamrsh | Main Street | Thu Dec 12 22:26:04 2002
Tydus | Grim | Market Square | Fri Dec 13 16:47:06 2002
Benius | Vladmir | The Entrance | Fri Dec 13 17:01:41 2002
Atari | Tydus | The dwarf forest | Fri Dec 13 17:24:02 2002
Atari | Morgren | The Temple Of Mota | Fri Dec 13 18:06:37 2002
Adrosener | Tydus | By the Temple Altar | Fri Dec 13 18:08:39 2002
Allanon | Tydus | The dwarf forest | Fri Dec 13 18:09:40 2002
Kryth | Atari | The Main Street | Fri Dec 13 18:16:06 2002
Morgren | Kaerk | The bend in the trail in the dwarf forest | Fri Dec 13 18:17:05 2002
Allanon | Kaerk | The Throne Room of the Nebula King | Fri Dec 13 18:26:59 2002
Allanon | Kaerk | By the Temple Altar | Fri Dec 13 18:31:38 2002
Kryth | Kaerk | The dwarf forest | Fri Dec 13 18:33:07 2002
Morgren | Grizerk | At a muddy track | Fri Dec 13 18:38:36 2002
Tydus | Grizerk | By the Temple Altar | Fri Dec 13 18:40:25 2002
Atari | Grizerk | The Common Square | Fri Dec 13 18:42:24 2002
Morgren | Meurk | Outside the East Gate of Midgaard | Fri Dec 13 18:51:22 2002
Horvath | Alaine | Southeastern Corner of the Sanctuary | Sat Dec 14 00:29:09 2002
Atari | Illven | Fourth Level | Sat Dec 14 11:59:48 2002
Atari | Morgren | The Mystical Path | Sat Dec 14 13:11:59 2002
Atari | Morgren | Outside the Tower | Sat Dec 14 13:15:50 2002
Doren | Grizerk | The Temple Square | Sat Dec 14 13:18:07 2002
Atari | Morgren | The Mystical Path | Sat Dec 14 13:19:44 2002
Atari | Morgren | Near the Sands of Sorrow | Sat Dec 14 13:25:04 2002
Doren | Morgren | On the Edge of the Downs | Sat Dec 14 13:30:31 2002
Horvath | Grim | By the Temple Altar | Sat Dec 14 13:50:11 2002
Tydus | Meurk | Market Square | Sun Dec 15 00:33:10 2002
Meurk | Morgren | By the Temple Altar | Sun Dec 15 00:36:05 2002
Meurk | Morgren | At a muddy track | Sun Dec 15 00:41:41 2002
Meurk | Tydus | The dwarf forest | Sun Dec 15 00:49:49 2002
Meurk | Morgren | By the Temple Altar | Sun Dec 15 00:54:51 2002
Meurk | Morgren | Melancholy's Room | Sun Dec 15 01:00:39 2002
Doren | Oogarhar | Outside the East Gate of Midgaard | Sun Dec 15 01:03:13 2002
Meurk | Vile | The Main Street | Sun Dec 15 01:05:42 2002
Meurk | Morgren | On the Bridge of Nebulae | Sun Dec 15 01:17:36 2002
Meurk | Morgren | The Common Square | Sun Dec 15 01:21:15 2002
Meurk | Morgren | The Main Street | Sun Dec 15 01:25:01 2002
Morgren | Alaine | Market Square | Sun Dec 15 01:26:10 2002
Meurk | Grizerk | Market Square | Sun Dec 15 01:28:42 2002
Meurk | Tydus | Outside the East Gate of Midgaard | Sun Dec 15 01:33:13 2002
Salem | Morgren | The Pet Shop | Sun Dec 15 01:34:47 2002
Vile | Oogarhar | By the beautiful waterfall | Sun Dec 15 01:50:55 2002
Meurk | Morgren | By the beautiful waterfall | Sun Dec 15 01:51:45 2002
Meurk | Vile | By the Temple Altar | Sun Dec 15 01:57:46 2002
Vile | Benius | The village shrine | Sun Dec 15 02:10:51 2002
Karak | Dante | Black Hole | Sun Dec 15 02:22:15 2002
Antari | Grizerk | By the Temple Altar | Sun Dec 15 11:23:07 2002
Valerik | Vile | The chapel | Sun Dec 15 11:46:52 2002
Doren | Morgren | By the Temple Altar | Sun Dec 15 12:58:42 2002
Doren | Morgren | By the Temple Altar | Sun Dec 15 13:05:36 2002
Doren | Grizerk | Inside the East Gate of Midgaard | Sun Dec 15 13:22:27 2002
Meurk | Illven | Market Square | Sun Dec 15 16:08:27 2002
Meurk | Illven | Market Square | Sun Dec 15 16:16:05 2002
Meurk | Grizerk | Market Square | Sun Dec 15 16:26:24 2002
Benius | Grizerk | Market Square | Sun Dec 15 16:37:19 2002
Axtrilianes | Kaerk | Outside the East Gate of Midgaard | Sun Dec 15 18:30:33 2002
Brutys | Maryjane | By the Temple Altar | Sun Dec 15 18:52:06 2002
Meurk | Axtrilianes | The Jeweller's Shop | Sun Dec 15 19:15:47 2002
Axtrilianes | Meurk | Market Square | Sun Dec 15 19:18:37 2002
Maryjane | Morgren | Within the Palace of Dominace | Sun Dec 15 20:27:58 2002
Doren | Meurk | A Dirt Path through the Downs | Sun Dec 15 21:08:21 2002
Meurk | Doren | Market Square | Sun Dec 15 21:11:26 2002
Meurk | Kryth | By the Temple Altar | Sun Dec 15 21:26:43 2002
Meurk | Doren | The Main Street | Sun Dec 15 21:39:12 2002
Marcus | Meurk | The Main Street | Sun Dec 15 21:46:18 2002
Meurk | Tertalith | Market Square | Sun Dec 15 21:50:13 2002
Marcus | Tertalith | Before the Tower | Sun Dec 15 21:51:02 2002
Doren | Meurk | The Temple Square | Sun Dec 15 21:57:09 2002
Horvath | Tertalith | Entrance to the Palace | Sun Dec 15 21:59:01 2002
Tertalith | Kaerk | By the Temple Altar | Sun Dec 15 22:07:37 2002
Harvey | Kaerk | The dwarf forest | Sun Dec 15 22:55:11 2002
Harvey | Kaerk | Entrance to the Palace | Sun Dec 15 23:01:42 2002
Doren | Tydus | Inside the East Gate of Midgaard | Sun Dec 15 23:18:38 2002
Tydus | Kaerk | The dwarf forest | Sun Dec 15 23:29:00 2002
Doren | Grerk | Mid-air | Mon Dec 16 00:19:52 2002
cloaked figure | Grerk | Main Street | Mon Dec 16 00:24:11 2002
Tydus | Dante | In the air... | Mon Dec 16 00:27:23 2002
Doren | Tydus | The Common Square | Mon Dec 16 00:42:10 2002
Dante | Kaerk | The dwarf forest | Mon Dec 16 00:46:46 2002
Drew | Drew | Western Summoning Chamber | Mon Dec 16 02:04:00 2002
Morgren | Alaine | At a muddy track | Mon Dec 16 16:49:48 2002
Morgren | Meurk | Fourth Level | Mon Dec 16 16:58:32 2002
Morgren | Meurk | The Mystical Path | Mon Dec 16 17:09:24 2002
Meurk | Vile | By the Temple Altar | Mon Dec 16 17:12:39 2002
Meurk | Morgren | At a muddy track | Mon Dec 16 17:16:10 2002
Morgren | Meurk | At a muddy track | Mon Dec 16 17:17:24 2002
Meurk | Morgren | Grassy fields | Mon Dec 16 17:24:34 2002
Morgren | Meurk | Village road | Mon Dec 16 17:34:30 2002
Oogarhar | Kaerk | Market Square | Mon Dec 16 17:48:07 2002
Aoslar | Felted | At a muddy track | Mon Dec 16 18:09:19 2002
Morgren | Kaerk | The dwarf forest | Mon Dec 16 18:25:31 2002
Corvus | Kaerk | Market Square | Mon Dec 16 18:49:53 2002
Kryth | Kaerk | At a muddy track | Mon Dec 16 19:17:21 2002
Morgren | Kaerk | At a muddy track | Mon Dec 16 19:18:14 2002
Felted | Kaerk | The village shrine | Mon Dec 16 19:19:31 2002
Kryth | Trustin | Near the Sands of Sorrow | Mon Dec 16 20:04:21 2002
Aurion | Kaerk | By the Temple Altar | Mon Dec 16 20:05:43 2002
Aurion | Kaerk | Market Square | Mon Dec 16 20:06:46 2002
Aurion | Kaerk | Market Square | Mon Dec 16 20:07:36 2002
Aurion | Kaerk | By the Temple Altar | Mon Dec 16 20:08:25 2002
Aurion | Maryjane | The Cross Roads | Mon Dec 16 20:09:19 2002
Aurion | Kryth | The Cross Roads | Mon Dec 16 20:10:59 2002
Kryth | Maryjane | The Cross Roads | Mon Dec 16 20:12:57 2002
Aurion | Trustin | The Cross Roads | Mon Dec 16 20:14:36 2002
Aurion | Trustin | The Cross Roads | Mon Dec 16 20:15:41 2002
Kryth | Maryjane | The Cross Roads | Mon Dec 16 20:19:08 2002
Aoslar | Maryjane | The wet maze | Mon Dec 16 20:24:42 2002
Desciple | Maryjane | On the Concourse | Mon Dec 16 20:30:25 2002
Horvath | Nadraz | Before a grand bridge | Mon Dec 16 21:08:07 2002
Horvath | Zrialynith | A Hallway | Mon Dec 16 21:16:33 2002
Maryjane | Nadraz | A Winding Trail Through the Downs | Mon Dec 16 21:20:08 2002
Glum | Zrialynith | Market Square | Mon Dec 16 21:29:46 2002
Doren | Kaerk | The Dark Road | Mon Dec 16 21:39:56 2002
Overlord | Maryjane | Market Square | Mon Dec 16 21:43:00 2002
Salem | Kaerk | The Temple Square | Mon Dec 16 21:43:26 2002
Curanthor | Overlord | Dragon Road | Mon Dec 16 21:50:31 2002
Baetron | Maryjane | Market Square | Mon Dec 16 21:52:37 2002
Baetron | Kaerk | The Temple Square | Mon Dec 16 21:57:49 2002
Overlord | Maryjane | The Inner Gates | Mon Dec 16 22:21:48 2002
Valbon | Vile | The Inner Gates | Mon Dec 16 22:48:57 2002
Felted | Vile | The Temple Square | Mon Dec 16 22:51:07 2002
Felted | Axtrilianes | Grassy fields | Mon Dec 16 23:01:22 2002
Felted | Vile | Entering the village | Mon Dec 16 23:12:30 2002
Doren | Drusellam | The Main Street | Tue Dec 17 13:47:02 2002
Doren | Felted | A peaceful clearing | Tue Dec 17 16:52:59 2002
Salem | Zrialynith | Entrance Hall to the Guild of Swordsmen | Tue Dec 17 17:18:19 2002
Felted | Vile | By the Temple Altar | Tue Dec 17 17:23:23 2002
Salem | Vile | By the Temple Altar | Tue Dec 17 17:24:38 2002
Felted | Vile | Inside the East Gate of Midgaard | Tue Dec 17 17:44:52 2002
Benius | Zrialynith | Grassy fields | Tue Dec 17 19:25:37 2002
Maryjane | Felted | At a muddy track | Tue Dec 17 19:38:48 2002
Felted | Zrialynith | At a muddy track | Tue Dec 17 19:42:44 2002
Felted | Zrialynith | Grassy fields | Tue Dec 17 20:01:15 2002
Marcus | Maryjane | By the Temple Altar | Tue Dec 17 20:17:30 2002
Maryjane | Marcus | By the Temple Altar | Tue Dec 17 20:29:26 2002
Keoii | Eleena | The Cross Roads | Tue Dec 17 20:49:20 2002
Corvus | Maryjane | The Temple Of Mota | Tue Dec 17 21:02:13 2002
Rezaf | Vile | The Inner Gates | Tue Dec 17 21:06:07 2002
Keoii | Meurk | Blacksmith | Tue Dec 17 21:07:32 2002
Pooponastick | Maryjane | Alley | Tue Dec 17 22:15:27 2002
Bremm | Darrien | By the Temple Altar | Wed Dec 18 01:17:54 2002
Corvus | Nadraz | The Mystical Path | Wed Dec 18 18:19:31 2002
Meurk | Nadraz | The Mystical Path | Wed Dec 18 18:27:05 2002
Corvus | Zrialynith | The Mystical Path | Wed Dec 18 18:27:12 2002
Grerk | Kaerk | The Altar | Wed Dec 18 18:56:39 2002
Zrialynith | Bremm | In the air... | Wed Dec 18 21:53:45 2002
Rual | Bremm | Inside the tent | Thu Dec 19 00:55:37 2002
Nordiran | Bremm | The Main Street | Thu Dec 19 05:48:35 2002
Karak | Bremm | Abandoned General Store | Thu Dec 19 08:52:25 2002
Nero | Grizerk | By the Temple Altar | Thu Dec 19 13:37:30 2002
Nero | Nordiran | Deathknight guild | Thu Dec 19 13:41:30 2002
Nero | Nordiran | Torture Chamber | Thu Dec 19 13:45:48 2002
Meurk | Bremm | By the Temple Altar | Thu Dec 19 14:50:26 2002
Zandar | Bremm | Mesa East | Thu Dec 19 15:53:19 2002
Corvus | Sharmerlin | By the beautiful waterfall | Thu Dec 19 17:32:11 2002
Felted | Kaerk | At a muddy track | Thu Dec 19 17:40:37 2002
Kojeh | Felted | Entering the village | Thu Dec 19 21:43:20 2002
Pariah | Vile | The Temple Of Mota | Fri Dec 20 17:38:36 2002
Felted | Kaerk | At a muddy track | Fri Dec 20 22:28:34 2002
Felted | Meurk | By the beautiful waterfall | Fri Dec 20 22:31:53 2002
Sycho | Bremm | Prison Entrance | Sat Dec 21 17:53:22 2002
Pariah | Bremm | A Road | Sat Dec 21 17:57:10 2002
Corvus | Kaerk | Village road | Sun Dec 22 13:02:04 2002
Drakon | Sycho | Market Square | Sun Dec 22 14:57:54 2002
Nephetz | Pariah | The Throne Room | Sun Dec 22 17:17:44 2002
Lithran | Pariah | Within the Dying Forest | Sun Dec 22 17:32:15 2002
Sharzak | Meurk | Entrance to Mage's Guild | Sun Dec 22 17:56:42 2002
Tilrith | Meurk | Melancholy's Room | Sun Dec 22 18:14:59 2002
Tilrith | Pariah | Market Square | Sun Dec 22 18:18:42 2002
Meurk | Pariah | Market Square | Sun Dec 22 18:19:00 2002
Sharzak | Pariah | Eastern end of Alley | Sun Dec 22 18:21:42 2002
Meurk | Pariah | Eastern end of Alley | Sun Dec 22 18:22:38 2002
Sharzak | Meurk | The Main Street | Sun Dec 22 18:28:25 2002
Meurk | Tilrith | The Weapon Shop | Sun Dec 22 18:28:41 2002
Tilrith | Tydus | The Common Square | Sun Dec 22 19:08:50 2002
Yavamayos | Kaerk | The Main Street | Sun Dec 22 20:11:36 2002
Gordank | Bremm | On the Concourse | Sun Dec 22 20:34:35 2002
Kitran | Kojeh | Inside the tent | Sun Dec 22 22:59:40 2002
Kojeh | Elmo | Shadar Lunn's coffin room | Sun Dec 22 23:42:32 2002
Kitran | Meurk | The Mystical Path | Mon Dec 23 00:24:07 2002
Kitran | Meurk | The Common Square | Mon Dec 23 00:34:52 2002
Dante | Dante | The Pantheon of Gwenidill | Mon Dec 23 01:05:08 2002
Desciple | Kaerk | By the Temple Altar | Mon Dec 23 13:04:53 2002
Sharzak | Bremm | The Flickering Tunnel | Mon Dec 23 14:24:41 2002
Kitran | Bremm | The Bakery | Mon Dec 23 14:32:51 2002
Kitran | Bremm | An Upper Chamber of the Golden Citadel | Mon Dec 23 16:04:19 2002
Kitran | Desciple | In the Shaft from the Dragon Chamber | Mon Dec 23 18:57:07 2002
Nordiran | Meurk | Black Hole | Mon Dec 23 19:04:12 2002
Kitran | Desciple | By the Temple Altar | Mon Dec 23 19:08:00 2002
Wigga | Meurk | Inside the East Gate of Midgaard | Mon Dec 23 19:52:47 2002
Nekarak | Meurk | The Armoury | Mon Dec 23 21:11:35 2002
Gordank | Meurk | By the Temple Altar | Mon Dec 23 22:11:08 2002
Takith | Meurk | In the southern swamps | Mon Dec 23 22:16:04 2002
Meurk | Bremm | A Dank Tunnel | Tue Dec 24 09:19:19 2002
Kaerk | Bremm | A Dank Tunnel | Tue Dec 24 09:26:38 2002
Marcus | Kaerk | The Flickering Tunnel | Tue Dec 24 14:45:12 2002
Rothgar | Shardin | Kreegan's Hole in the Wall | Tue Dec 24 14:49:26 2002
Salem | Marcus | Before the Tower | Tue Dec 24 15:04:16 2002
Celest | Salem | Grassy fields | Tue Dec 24 15:26:54 2002
cloaked figure | Salem | At a muddy track | Tue Dec 24 15:27:40 2002
Celest | Salem | A trail in the dwarf forest | Tue Dec 24 15:29:58 2002
cloaked figure | Salem | At a muddy track | Tue Dec 24 15:31:58 2002
Celest | Salem | Grassy fields | Tue Dec 24 15:33:49 2002
cloaked figure | Salem | The bend in the trail in the dwarf forest | Tue Dec 24 15:39:35 2002
Salem | Desciple | The dwarf forest | Tue Dec 24 20:43:23 2002
Teflin | Desciple | By the Temple Altar | Tue Dec 24 21:44:24 2002
Teflin | Meurk | Alley at Levee | Tue Dec 24 22:36:12 2002
Teflin | Delimarov | Before the gates of the kingdom | Tue Dec 24 22:43:22 2002
Lanceweiser | Pariah | Prison Entrance | Wed Dec 25 14:18:47 2002
Kelaheobr | Tydus | The Cross Roads | Thu Dec 26 01:12:02 2002
Vladmir | Desciple | The Common Square | Thu Dec 26 07:49:54 2002
Vladmir | Desciple | The Temple Of Mota | Thu Dec 26 08:00:49 2002
Delimarov | Kelaheobr | By the Temple Altar | Thu Dec 26 13:44:29 2002
Kelaheobr | Kelaheobr | By the Temple Altar | Thu Dec 26 14:24:18 2002
Franz | Oogarhar | At a muddy track | Thu Dec 26 22:04:09 2002
Roth | Desciple | Sailor Way | Fri Dec 27 01:44:39 2002
Wigga | Meurk | The dwarf forest | Fri Dec 27 10:53:53 2002
Tydus | Desciple | By the Temple Altar | Fri Dec 27 15:02:59 2002
Gordank | Kaerk | By the Temple Altar | Fri Dec 27 15:14:46 2002
Kalorian | Gordank | Mid-air | Fri Dec 27 15:27:59 2002
cloaked figure | Elmo | By the Temple Altar | Fri Dec 27 16:41:09 2002
Elmo | Ethel | The Realm of the Dead | Fri Dec 27 16:52:46 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:54:45 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:54:49 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:56:35 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:56:37 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:57:16 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:57:53 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:58:44 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:58:57 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:01 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:05 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:08 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:10 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:12 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:14 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:16 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:18 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:19 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:27 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:29 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:32 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:35 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:37 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:45 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:47 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:49 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:51 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:52 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:54 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 16:59:59 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:01 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:03 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:05 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:07 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:09 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:11 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:21 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:23 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:24 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:26 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:28 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:30 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:32 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:34 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:35 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:37 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:39 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:42 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:44 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:46 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:49 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:00:50 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:01:09 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:01:17 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:01:20 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:01:23 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:01:27 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:01:29 2002
Elmo | Ethel | The Mystical Path | Fri Dec 27 17:01:32 2002
Sycho | Kaerk | Alley at Levee | Fri Dec 27 18:43:34 2002
Drusellam | Kaerk | The village shrine | Fri Dec 27 19:05:32 2002
Sycho | Kaerk | Grassy fields | Fri Dec 27 19:06:52 2002
Sycho | Kaerk | The village shrine | Fri Dec 27 19:10:48 2002
Drusellam | Kaerk | A large wooden hut | Fri Dec 27 19:11:46 2002
Sycho | Kaerk | Grassy fields | Fri Dec 27 19:14:41 2002
Kaerk | Tydus | By the beautiful waterfall | Fri Dec 27 19:21:23 2002
Kaerk | Sycho | By the beautiful waterfall | Fri Dec 27 19:24:17 2002
Sylkorian | Sylkorian | At a muddy track | Fri Dec 27 19:28:00 2002
Drusellam | Grim | A Safe Room | Fri Dec 27 19:37:37 2002
Sylkorian | Kaerk | At a muddy track | Fri Dec 27 19:38:24 2002
Drusellam | Grim | Market Square | Fri Dec 27 19:42:44 2002
Sycho | Kaerk | Grassy fields | Fri Dec 27 19:43:23 2002
Sharzak | Kaerk | By the Temple Altar | Sat Dec 28 00:48:07 2002
Baelnor | Ethel | Death walk | Sat Dec 28 01:07:59 2002
Kaerk | Kaerk | Room Beyond Barney | Sat Dec 28 02:01:41 2002
Valedrin | Kaerk | By the Temple Altar | Sat Dec 28 02:07:10 2002
Salem | Kaerk | By the Temple Altar | Sat Dec 28 11:25:54 2002
Verdael | Xarius | The Common Square | Sat Dec 28 12:54:00 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:12:40 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:12:42 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:12:44 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:12:45 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:12:47 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:12:49 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:12:53 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:12:56 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:12:58 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:01 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:03 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:05 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:07 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:08 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:10 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:12 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:14 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:16 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:19 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:20 2002
Elmo | Ethel | The Realm of the Dead | Sat Dec 28 20:13:22 2002
Tydus | Ethel | The Mouth of a Cave | Sat Dec 28 22:37:54 2002
Stoned | Sharzak | A rough trail | Sun Dec 29 01:18:42 2002
Stoned | Desciple | Cave Entrance | Sun Dec 29 01:32:54 2002
Sycho | Desciple | The Dark Road | Sun Dec 29 01:35:45 2002
Sycho | Desciple | The Crossroads | Sun Dec 29 01:45:40 2002
Notorious | Desciple | The Main Street | Sun Dec 29 02:38:02 2002
Meurk | Ethel | The Main Street | Sun Dec 29 12:44:37 2002
Dimdim | Meurk | East Main Street | Sun Dec 29 12:51:12 2002
Baledon | Meurk | The Pet Shop | Sun Dec 29 12:52:34 2002
Baledon | Meurk | The Altar | Sun Dec 29 13:05:03 2002
Baledon | Meurk | Squire Barracks | Sun Dec 29 13:17:08 2002
Corvus | Desciple | The Underhalls | Sun Dec 29 14:26:02 2002
Oogarhar | Kaerk | The village shrine | Sun Dec 29 14:57:11 2002
Kelaheobr | Kelaheobr | By the Temple Altar | Sun Dec 29 15:35:29 2002
Gradelave | Ethel | The Entrance | Sun Dec 29 20:27:07 2002
Krunk | Meurk | At a muddy track | Sun Dec 29 22:14:00 2002
Vhenkamta | Nordiran | the Hallway | Mon Dec 30 05:16:44 2002
Atraen | Penz | The Dragon Chamber | Mon Dec 30 19:39:38 2002
Atraen | Meurk | The Dragon Chamber | Mon Dec 30 19:54:12 2002
Katistrofik | Desciple | Top of the Lord's Stairwell | Mon Dec 30 23:12:09 2002
Vhenkamta | Derintal | The bend in the trail in the dwarf forest | Tue Dec 31 07:22:23 2002
Sharmerlin | Kaerk | The village shrine | Tue Dec 31 15:17:45 2002
Agony | Vhenkamta | Inside the East Gate of Midgaard | Tue Dec 31 17:45:19 2002
Katistrofik | Ethel | Vast Corridor | Wed Jan  1 16:25:07 2003
Sycho | Kaerk | By the Temple Altar | Wed Jan  1 18:56:02 2003
Sycho | Ethel | The darker dwarf forest | Wed Jan  1 19:12:42 2003
Sycho | Ethel | The bend in the trail in the dwarf forest | Wed Jan  1 19:18:45 2003
Gringo | Ethel | The bend in the trail in the dwarf forest | Wed Jan  1 19:21:02 2003
Sycho | Ethel | Grassy fields | Wed Jan  1 19:28:30 2003
Atraen | Maryjane | In the Shaft from the Dragon Chamber | Thu Jan  2 00:43:23 2003
Synthia | Ethel | On the Sea of Agape | Thu Jan  2 00:52:55 2003
Synthia | Synthia | Southwest main area of the Mausoleum. | Thu Jan  2 01:20:03 2003
Penz | Synthia | An Acolyte's Chambers | Thu Jan  2 01:25:38 2003
Penz | Grerk | Cathedral of the Elder Gods | Thu Jan  2 01:53:46 2003
Nordiran | Erith | In the depths of the swamp | Thu Jan  2 06:50:44 2003
Atraen | Ethel | A bloody corner of the apprentice necromancer room | Thu Jan  2 17:07:26 2003
Oogarhar | Kraerox | The fireplace | Thu Jan  2 17:53:03 2003
Grim | Kaerk | By the Temple Altar | Fri Jan  3 15:02:38 2003
Corvus | Alctinco | The Mystical Path | Fri Jan  3 16:19:12 2003
Alctinco | Wigga | At a muddy track | Fri Jan  3 19:45:31 2003
Synthia | Alctinco | The Shadow Grove | Fri Jan  3 20:04:17 2003
Vhenkamta | Alctinco | On the Plains | Sat Jan  4 06:23:30 2003
Antonius | Alctinco | Steep slope | Sat Jan  4 08:59:09 2003
Duff | Alctinco | By the Temple Altar | Sat Jan  4 09:42:10 2003
Duff | Alctinco | Market Square | Sat Jan  4 09:49:02 2003
Thrawn | Baledon | The Inner Gates | Sat Jan  4 15:09:28 2003
Jokae | Jokae | Market Square | Sat Jan  4 15:12:48 2003
Jokie | Baledon | By the Temple Altar | Sat Jan  4 15:13:00 2003
Gringo | Allanon | The General Store | Sat Jan  4 19:57:42 2003
Synthia | Synthia | The Main Hall | Sat Jan  4 20:33:16 2003
Allanon | Alctinco | Before the Tower | Sat Jan  4 21:24:30 2003
Jimbo | Jimbo | Construction Area | Sat Jan  4 22:04:07 2003
Jimbo | Jimbo | By the Temple Altar | Sat Jan  4 22:09:42 2003
